"MORALG","CARESG","KNOWG","LEADG","DISHONG","INTELG","MORALB","CARESB","KNOWB","LEADB","DISHONB","INTELB","VOTE3","AGE","EDUC","GENDER","PARTY"
"3 Not too well","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,49,5,1,5
"4 Not well at all","3 Not too well","4 Not well at all","3 Not too well","2 Quite well","2 Quite well",,,"2 Quite well","3 Not too well",,"1 Extremely well",,35,4,2,3
"1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,57,3,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well",1,63,4,1,3
"2 Quite well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,40,5,2,7
"2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",,"3 Not too well","2 Quite well","2 Quite well","2 Quite well",1,77,2,1,1
"2 Quite well",,"2 Quite well","2 Quite well","4 Not well at all","2 Quite well",,"3 Not too well","2 Quite well","2 Quite well","4 Not well at all",,,43,4,1,6
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","4 Not well at all","4 Not well at all","4 Not well at all","3 Not too well","4 Not well at all",1,47,7,2,1
"2 Quite well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,26,6,2,1
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,48,3,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,41,3,2,6
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well",,41,3,1,2
